N,Должность,Язык.программирования,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Еще.студент,Уровень.английского,Дата.заполнения,User.Agent,exp,current_job_exp,salary,avg
1942,Senior Software Engineer,JavaScript,5,0.5,3700,1300,Удаленно,до 10 человек,Стартап,мужской,27,Высшее,False,средний,13/06/2017 07:09:55,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",5.0,0.5,3700,
1943,Senior Software Engineer,Java,5,5,1947,200,Ивано-Франковск,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,False,выше среднего,13/06/2017 07:20:46,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,1947,
1944,Senior Software Engineer,JavaScript,5,меньше 3 месяцев,2500,1000,Киев,свыше 1000 человек,Аутстаффинговая,мужской,33,Высшее,False,выше среднего,13/06/2017 07:21:29,"Mozilla/5.0 (iPad; CPU OS 10_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Mobile/14B72 [FBAN/FBIOS;FBAV/46.0.0.54.156;FBBV/18972819;FBDV/iPad3,4;FBMD/iPad;FBSN/iPhone OS;FBSV/10.1;FBSS/2; FBCR/;FBID/tablet;FBLC/ru_RU;FBOP/1]",5.0,0.0,2500,
1947,Junior Software Engineer,Java,0.5,0.5,540,235,Львов,до 1000 человек,Аутсорсинговая,мужской,34,Высшее,False,выше среднего,13/06/2017 07:34:13,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:53.0) Gecko/20100101 Firefox/53.0,0.5,0.5,540,
1948,Technical Lead,PHP,10 и более лет,7,2000,400,Киев,до 10 человек,Другая,мужской,42,Высшее,False,ниже среднего,13/06/2017 07:34:20,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,7.0,2000,
1949,Software Engineer,Java,5,меньше 3 месяцев,2500,-400,Киев,свыше 1000 человек,Аутсорсинговая,мужской,34,Кандидат,False,выше среднего,13/06/2017 07:36:23,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 6P Build/N2G47W) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",5.0,0.0,2500,
1950,Software Engineer,PHP,3,2,2400,1100,Киев,до 50 человек,Аутсорсинговая,мужской,25,Высшее,False,средний,13/06/2017 07:41:16,"Mozilla/5.0 (Linux; Android 4.2.2; ME173X Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Safari/537.36",3.0,2.0,2400,
1953,Junior Software Engineer,JavaScript,0.5,0.5,900,900,Харьков,до 50 человек,Аутсорсинговая,мужской,37,Незаконченное высшее,False,продвинутый,13/06/2017 07:48:57,"Mozilla/5.0 (Linux; Android 5.1.1; Redmi 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,900,
1955,Senior Software Engineer,Python,5,меньше 3 месяцев,3900,400,Харьков,до 50 человек,Стартап,мужской,26,Высшее,False,продвинутый,13/06/2017 07:50:49,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.0,3900,
1957,Junior Software Engineer,C#/.NET,0.5,0.5,300,150,Днепр,до 200 человек,Продуктовая,мужской,24,Высшее,False,ниже среднего,13/06/2017 07:59:24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,300,
1958,Software Engineer,Java,1.5,меньше 3 месяцев,2000,1300,Киев,до 50 человек,Продуктовая,мужской,20,Высшее,True,выше среднего,13/06/2017 07:59:35,"Mozilla/5.0 (Linux; Android 7.0; FRD-L09 Build/HUAWEIFRD-L09) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,0.0,2000,
1959,Junior Software Engineer,Java,0.25,0.25,300,300,Днепр,до 10 человек,Продуктовая,мужской,25,Высшее,False,элементарный,13/06/2017 08:03:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",0.25,0.25,300,
1960,Junior Software Engineer,C#/.NET,0.25,0.25,550,550,Киев,до 200 человек,Продуктовая,мужской,21,Незаконченное высшее,True,выше среднего,13/06/2017 08:04:41,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,0.25,0.25,550,
1961,Software Engineer,PHP,5,3,2300,300,Киев,до 200 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,13/06/2017 08:05:06,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,3.0,2300,
1962,Software Engineer,JavaScript,4,3,2000,500,Киев,до 50 человек,Продуктовая,мужской,26,Высшее,False,выше среднего,13/06/2017 08:05:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,3.0,2000,
1963,Senior Software Engineer,JavaScript,9,9,2750,0,Киев,до 1000 человек,Продуктовая,мужской,34,Высшее,False,средний,13/06/2017 08:06:45,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Kyivstar;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",9.0,9.0,2750,
1972,Software Engineer,PHP,4,1,2000,0,Киев,до 200 человек,Аутсорсинговая,мужской,26,Высшее,False,средний,13/06/2017 08:19:56,"Mozilla/5.0 (Linux; Android 6.0.1; A0001 Build/MHC19Q) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",4.0,1.0,2000,
1973,Senior Software Engineer,Java,7,5,3300,300,Киев,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,False,выше среднего,13/06/2017 08:20:49,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/lifecell;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]",7.0,5.0,3300,
1974,Junior Software Engineer,Scala,меньше 3 месяцев,меньше 3 месяцев,200,0,Киев,до 10 человек,Стартап,мужской,21,Незаконченное высшее,True,выше среднего,13/06/2017 08:21:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.0,0.0,200,
1975,Senior Software Engineer,Java,8,7,1200,0,Запорожье,до 50 человек,Продуктовая,мужской,34,Высшее,False,средний,13/06/2017 08:21:44,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,8.0,7.0,1200,
1976,Software Engineer,C#/.NET,1,1,1450,1450,Киев,до 1000 человек,Продуктовая,мужской,23,Высшее,False,выше среднего,13/06/2017 08:22:46,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",1.0,1.0,1450,
1980,Software Engineer,PHP,3,1,1208,300,Харьков,до 50 человек,Аутсорсинговая,мужской,22,Высшее,False,средний,13/06/2017 08:26:54,"Mozilla/5.0 (Linux; Android 5.1; M3 Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,1.0,1208,
1981,Junior Software Engineer,PHP,2,0.5,1000,650,Одесса,свыше 1000 человек,Аутстаффинговая,мужской,23,Высшее,False,выше среднего,13/06/2017 08:27:17,"Mozilla/5.0 (Linux; Android 5.1.1; Redmi Note 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,0.5,1000,
1982,Junior Software Engineer,JavaScript,1,1,1500,850,Киев,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,False,продвинутый,13/06/2017 08:27:39,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F5089a Safari/602.1",1.0,1.0,1500,
1983,Technical Lead,Delphi,10 и более лет,7,2100,400,Николаев,до 50 человек,Аутсорсинговая,мужской,38,Высшее,False,средний,13/06/2017 08:28:31,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,7.0,2100,
1984,Senior Software Engineer,C++,10 и более лет,3,3800,100,Киев,до 1000 человек,Продуктовая,мужской,30,Высшее,False,средний,13/06/2017 08:30:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",10.0,3.0,3800,
1985,Software Engineer,Java,2,0.5,2500,1000,Киев,до 200 человек,Аутстаффинговая,мужской,26,Высшее,False,ниже среднего,13/06/2017 08:31:44,"Mozilla/5.0 (Linux; Android 5.1; PRO 5 Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,0.5,2500,
1987,Technical Lead,PHP,6,1,3500,500,Днепр,до 50 человек,Продуктовая,мужской,32,Высшее,False,средний,13/06/2017 08:34:12,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/M4B30Z; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",6.0,1.0,3500,
1990,Junior Software Engineer,Objective-C,0.5,0.5,900,900,Киев,до 1000 человек,Продуктовая,мужской,20,Высшее,True,средний,13/06/2017 08:35:11,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,900,
1991,Senior Software Engineer,JavaScript,5,1,2200,1900,Киев,до 50 человек,Аутсорсинговая,мужской,22,Высшее,True,ниже среднего,13/06/2017 08:35:54,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,1.0,2200,
1992,Senior Software Engineer,PHP,6,2,1750,300,Ровно,до 10 человек,Продуктовая,мужской,26,Высшее,False,средний,13/06/2017 08:44:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",6.0,2.0,1750,
1994,Junior Software Engineer,Java,2,2,800,300,Днепр,до 1000 человек,Аутсорсинговая,мужской,31,Высшее,False,выше среднего,13/06/2017 08:46:34,"Mozilla/5.0 (Linux; Android 6.0; Lenovo A7010a48 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,2.0,800,
1995,Software Engineer,JavaScript,2,меньше 3 месяцев,1000,450,Киев,до 200 человек,Аутсорсинговая,мужской,23,Высшее,False,средний,13/06/2017 08:46:44,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 5X Build/N2G47O) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,0.0,1000,
1996,Software Engineer,PHP,3,1.5,700,300,Киев,до 50 человек,Аутсорсинговая,мужской,24,Высшее,False,выше среднего,13/06/2017 08:47:12,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.21 (KHTML, like Gecko) Mobile/15A5278f [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone6,2;FBMD/iPhone;FBSN/iOS;FBSV/11.0;FBSS/2;FBCR/lifecell;FBID/phone;FBLC/en_GB;FBOP/5;FBRV/0]",3.0,1.5,700,
1997,Junior Software Engineer,Swift,1,1,275,175,Харьков,до 50 человек,Аутсорсинговая,мужской,23,Высшее,False,средний,13/06/2017 08:47:57,"Mozilla/5.0 (Linux; Android 6.0.1; MI 3W Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,275,
2000,Software Engineer,SQL,4,2,2200,500,Киев,до 1000 человек,Аутсорсинговая,мужской,27,Высшее,False,выше среднего,13/06/2017 08:52:33,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,4.0,2.0,2200,
2001,Software Engineer,JavaScript,3,0.5,2500,1100,Киев,до 200 человек,Аутсорсинговая,мужской,25,Высшее,False,выше среднего,13/06/2017 08:54:31,"Mozilla/5.0 (Linux; Android 7.0; SM-G950F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,0.5,2500,
2002,Software Engineer,JavaScript,1.5,0.25,1400,800,Харьков,до 200 человек,Аутсорсинговая,мужской,24,Высшее,False,продвинутый,13/06/2017 08:55:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36",1.5,0.25,1400,
2004,Software Engineer,Java,4,1,2700,200,Львов,до 200 человек,Аутсорсинговая,мужской,32,Высшее,False,выше среднего,13/06/2017 08:55:56,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",4.0,1.0,2700,
2005,Software Engineer,Java,3,1,1200,500,Днепр,свыше 1000 человек,Аутсорсинговая,мужской,24,Незаконченное высшее,False,средний,13/06/2017 08:58:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/52.0.2743.116 Chrome/52.0.2743.116 Safari/537.36",3.0,1.0,1200,
2009,Software Engineer,PHP,1.5,1.5,1400,400,Винница,до 200 человек,Продуктовая,мужской,23,Высшее,False,ниже среднего,13/06/2017 09:02:37,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,1.5,1400,
2010,Software Engineer,Ruby/Rails,2,меньше 3 месяцев,1900,200,Харьков,до 1000 человек,Аутстаффинговая,мужской,26,Высшее,False,выше среднего,13/06/2017 09:02:59,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/59.0.3071.84 Mobile/14F89 Safari/602.1",2.0,0.0,1900,
2011,Software Engineer,C++,3,1,2000,0,Киев,до 200 человек,Аутсорсинговая,мужской,23,Высшее,False,средний,13/06/2017 09:03:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,2000,
2013,Junior Software Engineer,JavaScript,1,1,300,80,Полтава,до 10 человек,Аутсорсинговая,мужской,18,Техникум / Колледж,True,ниже среднего,13/06/2017 09:05:44,"Mozilla/5.0 (Linux; Android 5.1.1; Nexus 4 Build/LMY48T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,1.0,300,
2015,Software Engineer,Python,4,0.5,4100,800,Львов,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,False,продвинутый,13/06/2017 09:05:55,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,4.0,0.5,4100,
2019,Junior Software Engineer,1С,1,1,400,100,Днепр,до 50 человек,Другая,мужской,22,Высшее,False,средний,13/06/2017 09:10:13,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,400,
2020,Junior Software Engineer,C#/.NET,0.5,0.5,1250,400,Харьков,до 50 человек,Продуктовая,мужской,26,Высшее,False,средний,13/06/2017 09:10:50,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",0.5,0.5,1250,
2021,Software Engineer,PHP,1,меньше 3 месяцев,1000,500,Киев,до 200 человек,Продуктовая,мужской,24,Высшее,False,средний,13/06/2017 09:10:55,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,1000,
2022,Software Engineer,Python,2,2,2000,500,Киев,до 50 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,True,выше среднего,13/06/2017 09:11:13,"Mozilla/5.0 (Linux; Android 5.1; m2 Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,2.0,2000,
2023,Junior Software Engineer,PHP,3,меньше 3 месяцев,280,-220,Другой,до 200 человек,Аутсорсинговая,мужской,24,Высшее,False,элементарный,13/06/2017 09:11:33,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.0,280,
2024,Software Engineer,C++,2,меньше 3 месяцев,300,100,Полтава,до 50 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,False,ниже среднего,13/06/2017 09:14:35,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,300,
2026,Software Engineer,JavaScript,5,меньше 3 месяцев,1900,200,Киев,до 50 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,13/06/2017 09:17:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.0,1900,
2027,Software Engineer,C#/.NET,5,3,2700,200,Киев,до 50 человек,Аутсорсинговая,мужской,26,Высшее,False,ниже среднего,13/06/2017 09:18:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",5.0,3.0,2700,
2028,Software Engineer,JavaScript,3,1,2800,800,Львов,свыше 1000 человек,Аутсорсинговая,мужской,34,Высшее,False,выше среднего,13/06/2017 09:20:02,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,2800,
2030,Software Engineer,C#/.NET,2,0.5,1400,900,Киев,до 200 человек,Продуктовая,мужской,29,Два высших,False,выше среднего,13/06/2017 09:21:44,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.5,1400,
2031,Junior Software Engineer,JavaScript,0.5,0.5,700,350,Харьков,до 200 человек,Аутсорсинговая,женский,25,Высшее,False,средний,13/06/2017 09:22:42,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,700,
2033,Software Engineer,1С,9,0.25,1250,0,Одесса,до 10 человек,Другая,мужской,31,Высшее,False,средний,13/06/2017 09:23:19,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",9.0,0.25,1250,
2035,Junior Software Engineer,PHP,1.5,0.5,1300,800,Киев,до 200 человек,Продуктовая,мужской,28,Высшее,False,ниже среднего,13/06/2017 09:24:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.5,0.5,1300,
2036,Software Engineer,PHP,2,0.5,1300,700,Днепр,до 1000 человек,Продуктовая,мужской,28,Высшее,False,выше среднего,13/06/2017 09:24:32,"Mozilla/5.0 (Linux; Android 5.0.2; Lenovo A5000 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,0.5,1300,
2042,Software Engineer,C#/.NET,1.5,1.5,1600,600,Хмельницкий,до 50 человек,Аутсорсинговая,мужской,32,Высшее,False,ниже среднего,13/06/2017 09:27:00,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J510H Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,1.5,1600,
2043,Junior Software Engineer,C++,0.5,0.5,500,0,Днепр,до 1000 человек,Аутсорсинговая,мужской,22,Высшее,False,выше среднего,13/06/2017 09:28:06,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,500,
2050,HTML coder,JavaScript,1,0.5,400,200,Львов,до 50 человек,Аутсорсинговая,мужской,24,Высшее,False,ниже среднего,13/06/2017 09:31:53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,400,
2051,Senior Software Engineer,C#/.NET,10 и более лет,2,4770,0,Киев,до 50 человек,Аутстаффинговая,мужской,30,Высшее,False,выше среднего,13/06/2017 09:33:24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,2.0,4770,
2053,Software Engineer,PHP,1,6,600,350,Черновцы,до 50 человек,Аутсорсинговая,мужской,31,Высшее,False,элементарный,13/06/2017 09:34:27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,6.0,600,
2055,Software Engineer,C#/.NET,2,2,1500,300,Харьков,до 1000 человек,Аутсорсинговая,мужской,24,Высшее,False,выше среднего,13/06/2017 09:34:50,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1500,
2057,Software Engineer,Java,6,5,2400,300,Одесса,свыше 1000 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,13/06/2017 09:35:39,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,6.0,5.0,2400,
2058,Software Engineer,C#/.NET,4,1.5,1300,0,Харьков,свыше 1000 человек,Аутсорсинговая,мужской,27,Высшее,False,средний,13/06/2017 09:36:19,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,4.0,1.5,1300,
2059,Junior Software Engineer,JavaScript,1,1,1100,750,Харьков,до 1000 человек,Аутстаффинговая,мужской,22,Высшее,True,выше среднего,13/06/2017 09:36:40,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,1100,
2061,Senior Software Engineer,C#/.NET,10 и более лет,2,3800,300,Харьков,до 1000 человек,Аутстаффинговая,мужской,38,Высшее,False,средний,13/06/2017 09:37:51,"Mozilla/5.0 (Linux; Android 5.1.1; SM-A310F Build/LMY47X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,2.0,3800,
2062,Junior Software Engineer,C#/.NET,1.5,2,580,100,Киев,до 10 человек,Стартап,мужской,29,Незаконченное высшее,True,ниже среднего,13/06/2017 09:38:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,2.0,580,
2063,Software Engineer,Objective-C,5,меньше 3 месяцев,2000,600,Харьков,до 200 человек,Аутстаффинговая,мужской,27,Высшее,False,средний,13/06/2017 09:38:24,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",5.0,0.0,2000,
2064,Software Engineer,C#/.NET,1.5,меньше 3 месяцев,1200,900,Львов,до 200 человек,Аутсорсинговая,мужской,25,Высшее,False,средний,13/06/2017 09:38:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.0,1200,
2065,Senior Software Engineer,C#/.NET,10 и более лет,7,3500,0,Киев,до 200 человек,Продуктовая,мужской,34,Два высших,False,средний,13/06/2017 09:39:42,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,7.0,3500,
2066,Software Engineer,Swift,3,1,3000,1000,Львов,до 50 человек,Аутсорсинговая,мужской,26,Высшее,False,выше среднего,13/06/2017 09:39:50,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,1.0,3000,
2067,Technical Lead,Java,10 и более лет,7,4500,200,Киев,до 200 человек,Аутсорсинговая,мужской,40,Высшее,False,выше среднего,13/06/2017 09:39:57,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 6P Build/N2G47W; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",10.0,7.0,4500,
2068,Senior Software Engineer,Swift,4,меньше 3 месяцев,2800,1800,Львов,до 50 человек,Аутстаффинговая,мужской,24,Высшее,False,выше среднего,13/06/2017 09:41:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",4.0,0.0,2800,
2070,Software Engineer,Java,2,1,1200,600,Винница,до 50 человек,Аутсорсинговая,мужской,23,Высшее,False,ниже среднего,13/06/2017 09:42:14,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",2.0,1.0,1200,
2073,Senior Software Engineer,Swift,4,1,3000,300,Львов,до 50 человек,Аутсорсинговая,мужской,26,Высшее,False,продвинутый,13/06/2017 09:44:55,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.0,3000,
